15.79456,45.87261,"[105787]","[105787]"
15.22292,44.12567,"[153922-]","[153922-]"
18.24225,42.57842,"BS","[157532]"
15.24722,44.10092,"[159137-]","[159137-]"
16.72992,43.68644,"[161381]","[161381]"
14.44617,45.33589,"[162374]","[162374]"
14.43069,45.35047,"[162739]","[162739]"
16.30294,43.51308,"[164255]","[164255]"
13.83408,44.85683,"on lamppost","[173931]"
18.78303,45.28017,"[174896-]","[174896-]"
16.73358,43.68814,"[179178-]","[179178-]"
13.85817,44.96297,"[179363]","[179363]"
13.94144,44.82353,"[182240]","[182240]"
13.90933,44.80553,"[182245]","[182245]"
