15.60378,45.62511,"bs","[101083]"
15.76717,45.70008,"[101084]","[101084]"
14.72111,44.98925,"BS","[112425]"
16.52236,43.55800,"[125266]","[125266]"
15.96169,45.98128,"[134115]","[134115]"
15.86278,46.16764,"[134125]","[134125]"
16.27497,43.55278,"[136774]","[136774]"
19.30119,45.22994,"[144704]","[144704]"
19.21933,45.25003,"[144710]","[144710]"
16.17628,45.83583,"[145893]","[145893]"
17.18133,42.97583,"[145896]","[145896]"
16.37811,46.37825,"[156331]","[156331]"
15.23647,44.12406,"[158982-]","[158982-]"
15.21317,44.13317,"on lamppost","[159125-]"
16.21028,44.04811,"[159441-]","[159441-]"
15.28336,44.10142,"[161045]","[161045]"
16.59108,43.59914,"[164043]","[164043]"
18.02944,45.13547,"[164247-]","[164247-]"
18.02686,45.13978,"[164248-]","[164248-]"
16.08464,46.04722,"[164253]","[164253]"
16.41097,46.33217,"[164258]","[164258]"
16.43333,46.50925,"[165987-]","[165987-]"
16.98219,43.48997,"[166654]","[166654]"
16.64442,46.07361,"[167105]","[167105]"
16.89408,43.43433,"[167951]","[167951]"
15.65000,43.80206,"[169858-]","[169858-]"
15.60214,43.81131,"[169859-]","[169859-]"
13.90461,45.17942,"[170313]","[170313]"
13.52975,45.43367,"[170460]","[170460]"
16.33425,46.31522,"[172327]","[172327]"
16.32356,45.85703,"[172329]","[172329]"
16.20128,46.12367,"[172547-]","[172547-]"
16.50664,46.32881,"[174473]","[174473]"
16.88228,43.46825,"[174477]","[174477]"
14.28133,45.30406,"[176607]","[176607]"
14.31844,45.34847,"[176842]","[176842]"
17.24278,43.38644,"[177161]","[177161]"
17.21208,43.42136,"[177413]","[177413]"
16.33639,46.30025,"[179458-]","[179458-]"
13.99469,45.09769,"[180520]","[180520]"
15.96922,43.98275,"[180785]","[180785]"
14.00881,45.22019,"[180863]","[180863]"
15.75197,46.20747,"[181877-]","[181877-]"
16.26669,46.25567,"[182241-]","[182241-]"
19.16978,45.26169,"[182246]","[182246]"
13.87031,44.82558,"[182247-]","[182247-]"
13.85011,44.84033,"[182248-]","[182248-]"
16.48219,46.32875,"[182249-]","[182249-]"
13.92897,44.85483,"[183957-]","[183957-]"
15.72767,45.98403,"[185746-]","[185746-]"
15.32392,45.61661,"[185898-]","[185898-]"
13.95419,44.83064,"[186293-]","[186293-]"
17.37722,43.20383,"[186479-]","[186479-]"
16.19431,43.05642,"[186529-]","[186529-]"
17.49314,45.74211,"[187702-]","[187702-]"
