15.87078,45.81392,"W","[101086]"
15.99856,45.79681,"S","[101088]"
15.65067,44.99483,"[105777]","[105777]"
15.81539,45.84375,"[105781]","[105781]"
15.84194,45.81544,"[105802]","[105802]"
16.47253,43.50828,"W","[105811]"
16.29778,46.32344,"bs (?)","[105813]"
16.35017,46.28069,"S","[105815]"
15.91394,45.79569,"[114243]","[114243]"
14.39425,45.35419,"[125269]","[125269]"
13.74622,45.10681,"[129960]","[129960]"
14.63617,45.22347,"drehbar","[133161]"
16.39567,46.42097,"50 or 60 km/h (?)","[133204-]"
15.77128,43.77550,"[133221]","[133221]"
15.26831,44.10008,"Überwachungskamera, die Handybenutzung und nicht angelegten Gurt erkennt","[133256]"
13.65486,45.21725,"[133261-]","[133261-]"
18.72839,45.14539,"[134036]","[134036]"
18.11636,42.67067,"[134049]","[134049]"
17.12947,45.68442,"[134063]","[134063]"
17.08281,43.23436,"[134064]","[134064]"
16.94686,46.08772,"[134067]","[134067]"
16.87917,46.12064,"[134070]","[134070]"
16.80344,46.17603,"[134072]","[134072]"
17.50719,45.79461,"[134079]","[134079]"
16.74906,43.40919,"[134092-]","[134092-]"
16.65656,43.44133,"[134096-]","[134096-]"
16.62394,45.75428,"[134097-]","[134097-]"
16.59411,46.03025,"BS","[134100]"
16.42281,46.38722,"[134103]","[134103]"
16.20628,43.92347,"[134107]","[134107]"
16.18294,43.51369,"[134108-]","[134108-]"
15.38958,44.57308,"[134138]","[134138]"
15.04075,44.55283,"[134143-]","[134143-]"
13.85156,44.92811,"removed (?)","[139371-]"
18.77736,45.27725,"[140314]","[140314]"
15.95878,43.64153,"removed (?)","[140319-]"
15.90706,45.79642,"teilstationär (?)","[140333]"
16.27017,46.28597,"[144048]","[144048]"
16.24400,46.28597,"[144049]","[144049]"
15.81975,45.93375,"[145894-]","[145894-]"
16.21719,46.28278,"[150492-]","[150492-]"
16.11811,46.24961,"[151795]","[151795]"
15.48136,44.84378,"[151826]","[151826]"
16.36269,43.96978,"[151840]","[151840]"
15.26197,44.16414,"[153807-]","[153807-]"
16.36192,46.34164,"[155949]","[155949]"
15.42728,44.85125,"[155960]","[155960]"
15.81969,45.93414,"[164251]","[164251]"
13.95492,44.95728,"[169650]","[169650]"
13.55861,45.42422,"[170368]","[170368]"
16.47531,46.30208,"[174259]","[174259]"
16.43869,46.29756,"[174490]","[174490]"
16.73069,43.59600,"[176452]","[176452]"
16.51644,46.26728,"[176457-]","[176457-]"
16.42881,46.42539,"[177759-]","[177759-]"
14.44661,45.32406,"[177896]","[177896]"
16.48942,46.37528,"[178086-]","[178086-]"
14.44639,45.32411,"[179173]","[179173]"
15.85419,45.99253,"[180127-]","[180127-]"
16.04406,46.21297,"[180425-]","[180425-]"
15.71281,44.91911,"[181405-]","[181405-]"
16.81958,45.76719,"[182289-]","[182289-]"
15.92800,45.79450,"[182371-]","[182371-]"
15.92808,45.79464,"[182372-]","[182372-]"
16.11617,45.64453,"[182391-]","[182391-]"
15.57703,45.46625,"[183070-]","[183070-]"
16.93458,45.36608,"[183959-]","[183959-]"
15.32608,45.61347,"[185828-]","[185828-]"
16.67367,43.58397,"[186278-]","[186278-]"
16.86369,43.60597,"[186295-]","[186295-]"
15.84600,46.24244,"[186495-]","[186495-]"
15.74414,44.58061,"[187143-]","[187143-]"
18.47039,45.23517,"[187145-]","[187145-]"
16.63739,43.72694,"[187147-]","[187147-]"
16.83481,46.14269,"[187155]","[187155]"
16.01361,43.78219,"[187157-]","[187157-]"
16.13972,43.85883,"[187218-]","[187218-]"
15.47839,44.10006,"[187221-]","[187221-]"
15.88917,43.74775,"[187684-]","[187684-]"
16.59519,43.62964,"[187700-]","[187700-]"
